pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numtoday,percentoday
61,Northwest Territories,Territoires du Nord-Ouest,01-04-2020,2,0,0,2,951,,
62,Nunavut,Nunavut,01-04-2020,0,0,0,0,183,,
60,Yukon,Yukon,01-04-2020,5,0,0,5,722,,
99,Repatriated travellers,Voyageurs rapatriés,01-04-2020,13,0,0,13,0,,
1,Canada,Canada,01-04-2020,9595,18,109,9613,256933,,
59,British Columbia,Colombie-Britannique,02-04-2020,1121,0,31,1121,36966,,
48,Alberta,Alberta,02-04-2020,968,0,13,968,57096,,
47,Saskatchewan,Saskatchewan,02-04-2020,206,0,3,206,11034,,
46,Manitoba,Manitoba,02-04-2020,152,15,1,167,11098,,
35,Ontario,Ontario,02-04-2020,2793,0,53,2793,64785,,
24,Quebec,Québec,02-04-2020,5518,0,36,5518,74542,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,02-04-2020,183,0,1,183,2904,,
13,New Brunswick,Nouveau-Brunswick,02-04-2020,91,0,0,91,4625,,
12,Nova Scotia,Nouvelle-Écosse,02-04-2020,193,0,0,193,8059,,
11,Prince Edward Island,Île-du-Prince-Édouard,02-04-2020,22,0,0,22,653,,
60,Yukon,Yukon,02-04-2020,6,0,0,6,742,,
61,Northwest Territories,Territoires du Nord-Ouest,02-04-2020,2,0,0,2,969,,
62,Nunavut,Nunavut,02-04-2020,0,0,0,0,193,,
99,Repatriated travellers,Voyageurs rapatriés,02-04-2020,13,0,0,13,0,,
1,Canada,Canada,02-04-2020,11268,15,138,11283,273666,,
59,British Columbia,Colombie-Britannique,03-04-2020,1174,0,35,1174,39926,,
48,Alberta,Alberta,03-04-2020,1075,0,18,1075,60508,,
47,Saskatchewan,Saskatchewan,03-04-2020,220,0,3,220,11720,,
46,Manitoba,Manitoba,03-04-2020,164,18,2,182,11650,,
35,Ontario,Ontario,03-04-2020,3255,0,67,3255,67998,,
24,Quebec,Québec,03-04-2020,6101,0,61,6101,83570,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,03-04-2020,183,0,1,183,5036,,
13,New Brunswick,Nouveau-Brunswick,03-04-2020,95,0,0,95,3136,,
12,Nova Scotia,Nouvelle-Écosse,03-04-2020,207,0,0,207,8799,,
11,Prince Edward Island,Île-du-Prince-Édouard,03-04-2020,22,0,0,22,653,,
60,Yukon,Yukon,03-04-2020,6,0,0,6,753,,
61,Northwest Territories,Territoires du Nord-Ouest,03-04-2020,4,0,0,4,1109,,
62,Nunavut,Nunavut,03-04-2020,0,0,0,0,207,,
99,Repatriated travellers,Voyageurs rapatriés,03-04-2020,13,0,0,13,0,,
1,Canada,Canada,03-04-2020,12519,18,187,12537,295065,,
